ma_uc,stt,ma_phan_he,phan_he,ten_uc,actor_chinh,actor_phu,bi_danh,bmt,so_trans,do_phuc_tap,la_tu_dong,pham_vi,trang_thai,nhom_excel,ghi_chu
UC-0493,493,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0494,494,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin tài chính khách hàng vay là doanh nghiệp,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0495,495,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin quan hệ tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0496,496,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin thẻ tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0497,497,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin thống kê tình hình giải ngân, trả nợ của khách hàng",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0498,498,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0499,499,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin mua và ủy thác mua trái phiếu doanh nghiệp (không bao gồm TCTD),CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0500,500,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin hoạt động xử lý nợ xấu nội bảng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0501,501,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - thông tin dư nợ tại VAMC,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0502,502,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra chéo giữa các hồ sơ trong cùng kỳ báo cáo - Kết quả tự phân loại nợ,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0503,503,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin định danh khách hàng vay,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0504,504,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0505,505,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin tài chính khách hàng vay là doanh nghiệp,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0506,506,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin quan hệ tín dụng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0507,507,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin thẻ tín dụng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0508,508,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin thống kê tình hình giải ngân, trả nợ của khách hàng",CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0509,509,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0510,510,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin mua và ủy thác mua trái phiếu doanh nghiệp (không bao gồm TCTD),CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0511,511,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin hoạt động xử lý nợ xấu nội bảng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0512,512,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - thông tin dư nợ tại VAMC,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0513,513,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách hồ sơ sai lệch giữa các kỳ - Kết quả tự phân loại nợ,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0514,514,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận số liệu hồ sơ hợp lệ,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0515,515,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin định danh khách hàng vay,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0516,516,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0517,517,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin tài chính khách hàng vay là doanh nghiệp,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0518,518,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin quan hệ tín dụng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0519,519,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin thẻ tín dụng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0520,520,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin thống kê tình hình giải ngân, trả nợ của khách hàng",CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0521,521,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0522,522,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin mua và ủy thác mua trái phiếu doanh nghiệp (không bao gồm TCTD),CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0523,523,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin hoạt động xử lý nợ xấu nội bảng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0524,524,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin dư nợ tại VAMC,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0525,525,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - Kết quả tự phân loại nợ,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0526,526,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - Kết quả tự phân loại nợ,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0527,527,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin định danh khách hàng vay,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0528,528,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0529,529,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin tài chính khách hàng vay là doanh nghiệp,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0530,530,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin quan hệ tín dụng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0531,531,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin thẻ tín dụng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0532,532,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin thống kê tình hình giải ngân, trả nợ của khách hàng",CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0533,533,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0534,534,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin mua và ủy thác mua trái phiếu doanh nghiệp (không bao gồm TCTD),CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0535,535,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin hoạt động xử lý nợ xấu nội bảng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0536,536,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - thông tin dư nợ tại VAMC,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0537,537,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi yêu cầu tra soát bổ sung/điều chỉnh dữ liệu cho đơn vị - Kết quả tự phân loại nợ,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0538,538,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận sai lệch số liệu hồ sơ - không hợp lệ,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0539,539,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra thông tin pháp lý của khách hàng - thông tin định danh khách hàng vay,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0540,540,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Kiểm tra, đánh dấu khách hàng không có hồ sơ quan hệ tín dụng",Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0541,541,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu khách hàng không có hồ sơ quan hệ tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0542,542,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Hệ thống cập nhật thông tin pháp lý thay đổi của khách hàng đã cấp mã CIC (thông tin thay đổi không quan trọng),Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0543,543,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Thiết lập thông tin quan trọng về pháp lý của khác hàng,CB-TTXLDL/QTHT (Gọi chung là người dùng),,,B,3,Đơn giản,,,,,
UC-0544,544,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu thông tin được đánh giá là quan trọng về pháp lý của khách hàng,CB-TTXLDL/QTHT (Gọi chung là người dùng),,,B,3,Đơn giản,,,,,
UC-0545,545,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Hệ thống đánh dấu hồ sơ thay đổi hồ sơ thay đổi thông tin quan trọng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0546,546,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Hệ thống gửi thông báo cho cán bộ xem xét xử lý hồ sơ,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0547,547,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu hồ sơ pháp lý có thay đổi thông tin quan trọng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0548,548,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Từ chối tiếp nhận hồ sơ pháp lý,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0549,549,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận hồ sơ xử lý thông tin pháp lý hợp lệ - thông tin định danh khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0550,550,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Cập nhật thông tin pháp lý của khách hàng (thông tin quan trọng),CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0551,551,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Kiểm tra và đánh dấu khách hàng nghi ngờ trùng thông tin, cần gộp mã CIC",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0552,552,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Tra cứu danh sách khách hàng nghi ngờ trùng thông tin, cần thực hiện gộp mã",CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0553,553,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra trùng thông tin pháp lý của khách hàng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0554,554,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu danh sách khách hàng nghi ngờ trùng thông tin pháp lý,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0555,555,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận khách hàng trùng thông tin pháp lý,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0556,556,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận khách hàng không trùng thông tin pháp lý,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0557,557,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra mã CIC của khách hàng trùng thông tin,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0558,558,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Cấp mã CIC,Hệ thống,,,B,4,Trung bình,1,,,,
UC-0559,559,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu mã CIC,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0560,560,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gán mã CIC,Hệ thống,,,B,3,Đơn giản,1,,,,
UC-0561,561,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Cập nhật thông tin pháp lý của khách hàng (trong vùng dữ liệu chuẩn hóa),Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0562,562,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gộp mã CIC,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0563,563,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tách mã CIC,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0564,564,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi thông tin pháp lý cần xác thực sang hệ thống CSDL Quốc gia về dân cư - đơn lẻ từng khách hàng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0565,565,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi thông tin pháp lý cần xác thực sang hệ thống CSDL Quốc gia về dân cư - gửi theo lô,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0566,566,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận phản hồi xác thực thông tin thành công,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0567,567,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Đánh dấu khách hàng đã được xác thực thông tin pháp lý từ C06,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0568,568,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Cập nhật thông tin định danh theo C06 theo thông tin định danh có trong dữ liệu phản hồi,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0569,569,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Kiểm tra và đánh dấu khách hàng đã được cập nhật thông tin định danh theo dữ liệu phản hồi của C06 với khách hàng đã được cấp mã CIC khác mà nghi ngờ trùng thông tin, cần thực hiện gộp mã CIC",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0570,570,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Kiểm tra danh sách khách hàng nghi ngờ trùng thông tin, cần thực hiện gộp mã",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0571,571,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận phẩn hồi xác thực thông tin thất bại,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0572,572,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Đánh dấu khách hàng xác thực thông tin pháp lý từ C06 thất bại,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0573,573,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra danh sách thông tin pháp lý không thể xác thực thông tin từ C06,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0574,574,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập yêu cầu tra soát thông tin pháp lý cho đơn vị cung cấp thông tin,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0575,575,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu yêu cầu tra soát thông tin pháp lý cho đơn vị cung cấp thông tin,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0576,576,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra điều kiện tất toán khoản vay của khách hàng vay. Đánh dấu khách hàng tất toán khoản vay.,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0577,577,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra điều kiện tất toán trái phiếu. Đánh dấu khách hàng tất toán trái phiếu.,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0578,578,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra điều kiện đóng thẻ tín dụng. Đánh dấu khách hàng đóng thẻ tín dụng.,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0579,579,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Thiết lập điều kiện tự động tất toán khoản vay của khách hàng vay,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0580,580,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu điều kiện tự động tất toán khoản vay của khách hàng vay,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0581,581,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Thiết lập điều kiện tự động tất toán trái phiếu,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0582,582,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu điều kiện tự động tất toán trái phiếu,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0583,583,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Thiết lập điều kiện tự động đóng thẻ tín dụng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0584,584,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu điều kiện tự động đóng thẻ tín dụng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0585,585,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu danh sách khách hàng vay đã tất toán,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0586,586,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu danh sách khách hàng tất toán trái phiếu,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0587,587,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu danh sách khách hàng đóng thẻ tín dụng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0588,588,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận khách hàng đủ điều kiện tất toán khoản vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0589,589,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận khách hàng đủ điều kiện tất toán trái phiếu,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0590,590,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận khách hàng đủ điều kiện đóng thẻ tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0591,591,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Đánh dấu khách hàng tất toán khoản vay cần tra soát với đơn vị bên ngoài,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0592,592,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Đánh dấu khách hàng tất toán trái phiếu cần tra soát với đơn vị bên ngoài,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0593,593,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Đánh dấu khách hàng đóng thẻ tín dụng cần tra soát với đơn vị bên ngoài,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0594,594,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập lịch kiểm tra dữ liệu định kỳ - Kiểm tra 1 khách hàng có nhiều mã CIC,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0595,595,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập lịch kiểm tra dữ liệu định kỳ - Kiểm tra 1 mã CIC được cấp cho nhiều khách hàng,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0596,596,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập lịch kiểm tra dữ liệu định kỳ - Kiểm tra khách hàng có thông tin CIC_INFO không trùng với thông tin khách hàng tại TCTD,CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0597,597,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu lịch kiểm tra dữ liệu định kỳ,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0598,598,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra dữ liệu định kỳ - Kiểm tra 1 khách hàng có nhiều mã CIC,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0599,599,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra dữ liệu định kỳ - Kiểm tra 1 mã CIC được cấp cho nhiều khách hàng,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0600,600,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Kiểm tra dữ liệu định kỳ - Kiểm tra khách hàng có thông tin CIC_INFO không trùng với thông tin khách hàng tại TCTD,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0601,601,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập danh sách dữ liệu có nghi ngờ sai lệch thông tin - một khách hàng có nhiều mã CIC,Hệ thống,,,B,4,Trung bình,1,,,,
UC-0602,602,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập danh sách dữ liệu có nghi ngờ sai lệch thông tin - một mã CIC được cấp cho nhiều khách hàng,Hệ thống,,,B,4,Trung bình,1,,,,
UC-0603,603,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập danh sách dữ liệu có nghi ngờ sai lệch thông tin - khách hàng có thông tin CIC_INFO không trùng với thông tin khách hàng tại TCTD,Hệ thống,,,B,4,Trung bình,1,,,,
UC-0604,604,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi thông báo về nghi ngờ sai lệch thông tin - một khách hàng có nhiều mã CIC,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0605,605,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi thông báo về nghi ngờ sai lệch thông tin - một mã CIC được cấp cho nhiều khách hàng,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0606,606,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi thông báo về nghi ngờ sai lệch thông tin - khách hàng có thông tin CIC_INFO không trùng với thông tin khách hàng tại TCTD,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0607,607,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu danh sách dữ liệu nghi ngờ sai lệch - một khách hàng có nhiều mã CIC,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0608,608,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu danh sách dữ liệu nghi ngờ sai lệch - một mã CIC được cấp cho nhiều khách hàng,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0609,609,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu danh sách dữ liệu nghi ngờ sai lệch - khách hàng có thông tin CIC_INFO không trùng với thông tin khách hàng tại TCTD,CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0610,610,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận dữ liệu hợp lệ - đối với dữ liệu nghi ngờ sai lệch thông tin - một khách hàng có nhiều mã CIC,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0611,611,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận dữ liệu hợp lệ - đối với dữ liệu nghi ngờ sai lệch thông tin - một mã CIC được cấp cho nhiều khách hàng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0612,612,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác nhận dữ liệu hợp lệ - đối với dữ liệu nghi ngờ sai lệch thông tin - khách hàng có thông tin CIC_INFO không trùng với thông tin khách hàng tại TCTD,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0613,613,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Đánh dấu dữ liệu cần điều chỉnh,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0614,614,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Xác thực CKS của file,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0615,615,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập đề nghị/yêu cầu điều chỉnh (có đính kèm văn bản có CKS),ĐVGBC/CB-TTXLDL,,,B,4,Trung bình,,,,,
UC-0616,616,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tra cứu đề nghị điều chỉnh (Đơn vị lập trên Web),ĐVGBC/CB-TTXLDL,,,B,3,Đơn giản,,,,,
UC-0617,617,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Lập đề nghị điều chỉnh theo văn bản của đơn vị,CB-TTXLDL,,,B,4,Trung bình,,,,,
